"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
503 0.355195098691706 7 5 "GO:0004032;GO:0008106;GO:0004033" "alditol:NADP+ 1-oxidoreductase activity" 0.839086385841586
-526 0.2901614913307 2 6 "GO:0004047;GO:0046997" "aminomethyltransferase activity" 0.778966040333043
-353 0.516377443837532 5 5 "GO:0004051" "arachidonate 5-lipoxygenase activity" 0.936545368828878
369 0.49799851835861 2 5 "GO:0004065" "arylsulfatase activity" 0.931403086637233
864 0.0821367163133054 2 6 "GO:0004067" "asparaginase activity" 0.569657853745179
-331 0.505815711770541 5 6 "GO:0004085;GO:0052890" "butyryl-CoA dehydrogenase activity" 0.936545368828878
739 0.085955826790262 5 8 "GO:0004089" "carbonate dehydratase activity" 0.582155372352229
250 0.646455433707857 2 5 "GO:0004096" "catalase activity" 0.936545368828878
-548 0.135589664067945 3 11 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.631339373316369
-551 0.311119580145264 2 5 "GO:0004128" "cytochrome-b5 reductase activity, acting on NAD(P)H" 0.794688298999617
368 0.459330303170389 5 6 "GO:0004129;GO:0009055;GO:0015002;GO:0016676;GO:0016675" "cytochrome-c oxidase activity" 0.894023337721524
-669 0.119799659237068 2 8 "GO:0004143" "diacylglycerol kinase activity" 0.61247808287133
-382 0.374368608096437 3 8 "GO:0004165" "dodecenoyl-CoA delta-isomerase activity" 0.85200559002196
207 0.044931065915148 5 143 "GO:0004175" "endopeptidase activity" 0.452943351354492
-46 0.933281972480396 2 5 "GO:0004177" "aminopeptidase activity" 0.993997930579758
144 0.723664265965073 2 9 "GO:0004180;GO:0004181" "carboxypeptidase activity" 0.96483430165233
-2 0.99511848640704 -1 18 "GO:0004182" "carboxypeptidase A activity" 0.998815371247423
-244 0.654138499430987 3 5 "GO:0004185;GO:0070008" "serine-type carboxypeptidase activity" 0.936545368828878
307 0.0324972366291478 6 73 "GO:0004197;GO:0008234" "cysteine-type peptidase activity" 0.404990841703842
-484 0.373877856047262 2 5 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.85200559002196
781 0.0697170839691226 -1 8 "GO:0004217" "cathepsin L activity" 0.519882799390633
-88 0.659402986374326 3 37 "GO:0004221;GO:0016790;GO:0036459" "thiolester hydrolase activity" 0.936545368828878
44 0.847767343599188 2 29 "GO:0004222" "metalloendopeptidase activity" 0.96483430165233
1114 0.0038206153428319 -1 10 "GO:0004238" "meprin A activity" 0.155255914385987
299 0.461347486466104 -1 9 "GO:0004245" "neprilysin activity" 0.894023337721524
406 0.182774207597326 -1 16 "GO:0004249;GO:0008133;GO:0008319;GO:0030402" "stromelysin 3 activity" 0.710715595415065
585 0.00759464083827341 2 31 "GO:0004252;GO:0008132;GO:0008243;GO:0008991;GO:0016808" "serine-type endopeptidase activity" 0.226607237370425
223 0.62803446663016 -1 7 "GO:0004285" "proprotein convertase 1 activity" 0.936545368828878
426 0.225147038460959 -1 12 "GO:0004287" "prolyl oligopeptidase activity" 0.763945160357174
523 0.00915322565840205 -1 37 "GO:0004289" "subtilase activity" 0.227305103850318
743 0.00154597243874878 -1 27 "GO:0004295;GO:0004263" "trypsin activity" 0.0987213828743864
-339 0.182317299953788 5 23 "GO:0004298;GO:0070003;GO:0004299" "threonine-type peptidase activity" 0.710715595415065
-261 0.599861127672663 5 6 "GO:0004300" "enoyl-CoA hydratase activity" 0.936545368828878
74 0.848144444279314 3 10 "GO:0004303" "estradiol 17-beta-dehydrogenase activity" 0.96483430165233
920 0.0326167120835309 3 8 "GO:0004308;GO:0016997" "alpha-sialidase activity" 0.404990841703842
637 0.0593663197073419 5 13 "GO:0004312" "fatty acid synthase activity" 0.501726917294534
338 0.404875956600189 3 9 "GO:0004364" "glutathione transferase activity" 0.863706918119419
240 0.629375991231246 2 6 "GO:0004366" "glycerol-3-phosphate O-acyltransferase activity" 0.936545368828878
-876 0.0307766566687796 2 9 "GO:0004402" "histone acetyltransferase activity" 0.404622515616014
-402 0.273646118224457 4 11 "GO:0004407;GO:0033558;GO:0019213" "deacetylase activity" 0.778966040333043
143 0.649681619475654 2 15 "GO:0004437;GO:0052745" "inositol phosphate phosphatase activity" 0.936545368828878
-847 0.119528481461228 2 5 "GO:0004447" "iodide peroxidase activity" 0.61247808287133
72 0.843637433192539 3 11 "GO:0004448" "isocitrate dehydrogenase activity" 0.96483430165233
367 0.50010125155624 4 5 "GO:0004449" "isocitrate dehydrogenase (NAD+) activity" 0.931438581023497
-69 0.880200887448367 4 7 "GO:0004467;GO:0015645" "fatty acid ligase activity" 0.985687804457784
-78 0.885739185753677 2 5 "GO:0004485" "methylcrotonoyl-CoA carboxylase activity" 0.98652480058625
246 0.162617797545063 3 48 "GO:0004497" "monooxygenase activity" 0.662659534789532
317 0.462012060433271 2 8 "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 0.894023337721524
113 0.769305937054027 2 10 "GO:0004500;GO:0016715" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen" 0.96483430165233
-43 0.769908222823681 2 70 "GO:0004518" "nuclease activity" 0.96483430165233
16 0.940335092257683 2 31 "GO:0004519" "endonuclease activity" 0.993997930579758
-45 0.899269093490062 6 12 "GO:0004520" "endodeoxyribonuclease activity" 0.989944750620165
-346 0.0988205949877362 5 34 "GO:0004527" "exonuclease activity" 0.61247808287133
-264 0.539093129766091 7 8 "GO:0004534;GO:0008409" "5'-3' exoribonuclease activity" 0.936545368828878
-240 0.659725124763988 2 5 "GO:0004535" "poly(A)-specific ribonuclease activity" 0.936545368828878
15 0.959120344568554 2 17 "GO:0004536" "deoxyribonuclease activity" 0.993997930579758
-207 0.386928713141964 5 26 "GO:0004540" "ribonuclease activity" 0.85200559002196
-78 0.875196846493024 3 6 "GO:0004550" "nucleoside diphosphate kinase activity" 0.985423149577788
-396 0.193379442594289 4 16 "GO:0004551;GO:0008796" "nucleotide diphosphatase activity" 0.725768605621133
250 0.048346340845391 2 94 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.452943351354492
-63 0.804406855882824 6 23 "GO:0004558" "alpha-glucosidase activity" 0.96483430165233
-117 0.829986728221041 6 5 "GO:0004563" "beta-N-acetylhexosaminidase activity" 0.96483430165233
-24 0.965218398087847 6 5 "GO:0004571" "mannosyl-oligosaccharide 1,2-alpha-mannosidase activity" 0.993997930579758
-356 0.215034774038713 2 18 "GO:0004576" "oligosaccharyl transferase activity" 0.762861460280196
-617 0.256510144942107 2 5 "GO:0004579" "dolichyl-diphosphooligosaccharide-protein glycotransferase activity" 0.778966040333043
-76 0.829755053827463 5 12 "GO:0004597" "peptide-aspartate beta-dioxygenase activity" 0.96483430165233
8 0.971760840410189 3 27 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 0.993997930579758
16 0.968480780960469 2 9 "GO:0004602" "glutathione peroxidase activity" 0.993997930579758
448 0.0235883558452136 3 38 "GO:0004620" "phospholipase activity" 0.367912874145781
936 0.0594888738626629 2 6 "GO:0004622" "lysophospholipase activity" 0.501726917294534
645 0.0291471460314213 5 17 "GO:0004623" "phospholipase A2 activity" 0.404622515616014
396 0.303221680129641 2 10 "GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499" "calcium-dependent phospholipase A2 activity" 0.778966040333043
-622 0.253132471348788 3 5 "GO:0004629" "phospholipase C activity" 0.778966040333043
356 0.379823896409522 3 9 "GO:0004653" "polypeptide N-acetylgalactosaminyltransferase activity" 0.85200559002196
-115 0.753954883610565 6 11 "GO:0004656;GO:0019798;GO:0031545;GO:0031543" "procollagen-proline dioxygenase activity" 0.96483430165233
-233 0.474818130528031 3 14 "GO:0004659" "prenyltransferase activity" 0.914843553215646
282 0.540514684771406 7 7 "GO:0004662;GO:0004661" "protein geranylgeranyltransferase activity" 0.936545368828878
41 0.548000894621603 2 339 "GO:0004672;GO:0004674" "protein kinase activity" 0.936545368828878
36 0.768410108951047 2 103 "GO:0004682;GO:0004691;GO:0008603;GO:0008605" "cAMP-dependent protein kinase regulator activity" 0.96483430165233
-406 0.377247671130192 2 7 "GO:0004687" "myosin light chain kinase activity" 0.85200559002196
5 0.957378610235162 7 171 "GO:0004690;GO:0019887;GO:0019207" "protein kinase regulator activity" 0.993997930579758
-181 0.201844977544371 2 75 "GO:0004702;GO:0005057" "receptor signaling protein activity" 0.731418499953425
22 0.82636895908555 4 154 "GO:0004707;GO:0004675;GO:0004676;GO:0004677;GO:0004679;GO:0004680;GO:0004681;GO:0004683;GO:0004686;GO:0004689;GO:0004692;GO:0004693;GO:0097472;GO:0004694;GO:0004697;GO:0004698;GO:0009931;GO:0010857;GO:0004703;GO:0004704;GO:0004705;GO:0016909;GO:0004706;GO:0004709;GO:0004708;GO:0004712;GO:0004711;GO:0004716;GO:0008349;GO:0008384;GO:0008443;GO:0019200;GO:0008545;GO:0008607;GO:0008819;GO:0016307;GO:0016538;GO:0018720;GO:0019912;GO:0019914;GO:0035004;GO:0042556;GO:0042557" "phosphatidylinositol 3-kinase activity" 0.96483430165233
-3 0.970806782218753 2 249 "GO:0004713" "protein tyrosine kinase activity" 0.993997930579758
45 0.752755338476428 3 75 "GO:0004715" "non-membrane spanning protein tyrosine kinase activity" 0.96483430165233
8 0.943990753338378 2 114 "GO:0004721" "phosphoprotein phosphatase activity" 0.993997930579758
94 0.567258090543435 3 55 "GO:0004722" "protein serine/threonine phosphatase activity" 0.936545368828878
-33 0.855758888325167 2 44 "GO:0004723;GO:0004724;GO:0008420;GO:0008597;GO:0019888;GO:0019208;GO:0017018;GO:0017020" "phosphatase regulator activity" 0.970873662643019
-56 0.744016652718953 3 51 "GO:0004725" "protein tyrosine phosphatase activity" 0.96483430165233
-126 0.653067019219684 5 19 "GO:0004727" "prenylated protein tyrosine phosphatase activity" 0.936545368828878
-1130 0.037793717713905 2 5 "GO:0004730" "pseudouridylate synthase activity" 0.422344795452888
708 0.12398680740326 2 7 "GO:0004767" "sphingomyelin phosphodiesterase activity" 0.61247808287133
624 0.251151197951962 5 5 "GO:0004771" "sterol esterase activity" 0.778966040333043
-386 0.401839767010295 2 7 "GO:0004800" "thyroxine 5'-deiodinase activity" 0.863706918119419
187 0.579717257581354 5 13 "GO:0004806" "triglyceride lipase activity" 0.936545368828878
268 0.228567425120906 4 30 "GO:0004812;GO:0016876;GO:0016875" "ligase activity, forming aminoacyl-tRNA and related compounds" 0.763945160357174
-680 0.0639334475131246 2 11 "GO:0004835" "tubulin-tyrosine ligase activity" 0.510325911399405
104 0.834343182712554 2 6 "GO:0004839;GO:0008641" "ubiquitin activating enzyme activity" 0.96483430165233
-66 0.432152397864689 6 221 "GO:0004842;GO:0019787;GO:0016881;GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 0.876784115741213
178 0.743146338556096 8 5 "GO:0004844;GO:0097506;GO:0017065" "single-strand selective uracil DNA N-glycosylase activity" 0.96483430165233
92 0.729886676009715 3 21 "GO:0004866;GO:0030414;GO:0061135;GO:0004857;GO:0061134" "enzyme inhibitor activity" 0.96483430165233
104 0.798679962556332 2 9 "GO:0004867" "serine-type endopeptidase inhibitor activity" 0.96483430165233
48 0.540201745451569 2 257 "GO:0004871;GO:0060089" "signal transducer activity" 0.936545368828878
182 0.0302818315843119 2 220 "GO:0004888;GO:0038023;GO:0004872" "receptor activity" 0.404622515616014
339 0.494709851021032 3 6 "GO:0004889" "acetylcholine-activated cation-selective channel activity" 0.931403086637233
104 0.833818703149269 3 6 "GO:0004890" "GABA-A receptor activity" 0.96483430165233
145 0.477091884346223 2 36 "GO:0004930" "G-protein coupled receptor activity" 0.915279280269363
322 0.322258260050116 2 14 "GO:0005001" "transmembrane receptor protein tyrosine phosphatase activity" 0.807442545124904
219 0.611478000148012 3 8 "GO:0005003" "ephrin receptor activity" 0.936545368828878
-98 0.747905117834278 3 16 "GO:0005007" "fibroblast growth factor-activated receptor activity" 0.96483430165233
16 0.970169826523812 3 8 "GO:0005044;GO:0038024" "scavenger receptor activity" 0.993997930579758
340 0.2795985466817 4 15 "GO:0005087;GO:0017112;GO:0030676;GO:0043539" "protein serine/threonine kinase activator activity" 0.778966040333043
372 0.106704135011711 2 28 "GO:0005088;GO:0005085;GO:0005089" "guanyl-nucleotide exchange factor activity" 0.61247808287133
322 0.226504851617524 2 21 "GO:0005096;GO:0030695;GO:0060589;GO:0005083" "nucleoside-triphosphatase regulator activity" 0.763945160357174
635 0.0709459748609141 2 12 "GO:0005099" "Ras GTPase activator activity" 0.519882799390633
324 0.0206452646849183 3 77 "GO:0005102" "receptor binding" 0.367912874145781
610 0.00120321796555481 2 42 "GO:0005164;GO:0032813;GO:0005126" "tumor necrosis factor receptor superfamily binding" 0.0896397384338334
693 0.162994607220168 4 6 "GO:0005179" "hormone activity" 0.662659534789532
3 0.978550723827133 1 124 "GO:0005198" "structural molecule activity" 0.995790026652294
247 0.618678944981402 2 6 "GO:0005200" "structural constituent of cytoskeleton" 0.936545368828878
-8 0.94058653016844 3 129 "GO:0005216;GO:0022838;GO:0015267;GO:0022803" "substrate-specific channel activity" 0.993997930579758
-30 0.908555626455699 3 22 "GO:0005230" "extracellular ligand-gated ion channel activity" 0.991551809129343
71 0.840706094627035 2 12 "GO:0005231" "excitatory extracellular ligand-gated ion channel activity" 0.96483430165233
-110 0.735850232926704 4 14 "GO:0005245;GO:0005262" "calcium channel activity" 0.96483430165233
19 0.96312167864977 6 9 "GO:0005247;GO:0005254;GO:0008308;GO:0005253" "anion channel activity" 0.993997930579758
264 0.182846294122444 4 38 "GO:0005249" "voltage-gated potassium channel activity" 0.710715595415065
59 0.643918497317243 2 93 "GO:0005261" "cation channel activity" 0.936545368828878
303 0.0659541627339717 3 55 "GO:0005267;GO:0015079" "potassium ion transmembrane transporter activity" 0.517219486703252
-240 0.24428336444545 5 35 "GO:0005310" "dicarboxylic acid transmembrane transporter activity" 0.778966040333043
104 0.757892749223365 2 13 "GO:0005319" "lipid transporter activity" 0.96483430165233
114 0.834580289300705 5 5 "GO:0005328;GO:0005326" "neurotransmitter:sodium symporter activity" 0.96483430165233
147 0.732285501302986 2 8 "GO:0005343" "organic acid:sodium symporter activity" 0.96483430165233
-19 0.969850807611718 7 6 "GO:0005355;GO:0015149;GO:0015145" "glucose transmembrane transporter activity" 0.993997930579758
-204 0.707815481185257 5 5 "GO:0005375" "copper ion transmembrane transporter activity" 0.96483430165233
-32 0.933914291490172 2 10 "GO:0005385" "zinc ion transmembrane transporter activity" 0.993997930579758
126 0.800155990456149 3 6 "GO:0005388" "calcium-transporting ATPase activity" 0.96483430165233
-127 0.43756588242462 -1 56 "GO:0005489" "electron transporter activity" 0.877093943694193
73 0.790210931119675 2 20 "GO:0005506" "iron ion binding" 0.96483430165233
-17 0.953612751611296 4 18 "GO:0005507" "copper ion binding" 0.993997930579758
234 0.00373157379407826 3 240 "GO:0005509" "calcium ion binding" 0.155255914385987
149 0.023869067897601 2 373 "GO:0005515" "protein binding" 0.367912874145781
-275 0.00340679525066623 5 174 "GO:0005525;GO:0032561;GO:0019001" "GTP binding" 0.155255914385987
-124 0.692943727143176 3 15 "GO:0005528;GO:0005527" "FK506 binding" 0.956005697632715
-903 0.049571357449156 2 7 "GO:0005543" "phospholipid binding" 0.452943351354492
-365 0.0058999341604065 6 86 "GO:0008026;GO:0070035;GO:0004386" "helicase activity" 0.202866966900131
-50 0.84827713769433 4 22 "GO:0008028;GO:0015171" "amino acid transmembrane transporter activity" 0.96483430165233
467 0.346952090707899 4 6 "GO:0008066" "glutamate receptor activity" 0.827477474865123
-40 0.921636268148616 -1 9 "GO:0008067" "metabotropic glutamate, GABA-B-like receptor activity" 0.993997930579758
-451 0.0430594724202853 5 30 "GO:0008080;GO:0016410" "N-acyltransferase activity" 0.452943351354492
-124 0.548179932475843 2 35 "GO:0008081" "phosphoric diester hydrolase activity" 0.936545368828878
-260 0.36593154697895 2 18 "GO:0008083" "growth factor activity" 0.847409417972968
243 0.155792833954565 3 51 "GO:0008092" "cytoskeletal protein binding" 0.662659534789532
109 0.842056811689859 3 5 "GO:0008121;GO:0016681;GO:0016679" "ubiquinol-cytochrome-c reductase activity" 0.96483430165233
107 0.81661223096839 3 7 "GO:0008134" "transcription factor binding" 0.96483430165233
-312 0.0685175267287719 3 51 "GO:0008135" "translation factor activity, nucleic acid binding" 0.519882799390633
-138 0.611631578553995 3 20 "GO:0008137;GO:0050136;GO:0003954" "NADH dehydrogenase activity" 0.936545368828878
-63 0.801519127164651 4 24 "GO:0008138" "protein tyrosine/serine/threonine phosphatase activity" 0.96483430165233
283 0.602705938773832 4 5 "GO:0008140" "cAMP response element binding protein binding" 0.936545368828878
-202 0.448608392668427 2 21 "GO:0008144" "drug binding" 0.887291820897287
38 0.878331732342101 2 24 "GO:0008146;GO:0016782" "transferase activity, transferring sulfur-containing groups" 0.985687804457784
490 0.367779478941288 2 5 "GO:0008158" "hedgehog receptor activity" 0.847409417972968
-71 0.745097705763829 2 31 "GO:0008170" "N-methyltransferase activity" 0.96483430165233
-342 0.247623455431425 2 17 "GO:0008171" "O-methyltransferase activity" 0.778966040333043
184 0.585829524691897 2 13 "GO:0008172" "S-methyltransferase activity" 0.936545368828878
-530 0.191641745610052 2 9 "GO:0008174" "mRNA methyltransferase activity" 0.725768605621133
12 0.940547045875051 2 61 "GO:0008194" "UDP-glycosyltransferase activity" 0.993997930579758
236 0.453603178050809 2 15 "GO:0008235" "metalloexopeptidase activity" 0.893218592901813
418 0.0267126895630888 3 42 "GO:0008236;GO:0017171" "serine hydrolase activity" 0.398019074490023
366 0.00465762805169825 5 90 "GO:0008237" "metallopeptidase activity" 0.17349664492576
215 0.360316184073546 5 27 "GO:0008238" "exopeptidase activity" 0.839086385841586
346 0.345291213243892 3 11 "GO:0008252" "nucleotidase activity" 0.827477474865123
131 0.0499536801595891 4 360 "GO:0008270;GO:0046914" "transition metal ion binding" 0.452943351354492
-538 0.126058128913115 2 12 "GO:0008289" "lipid binding" 0.61247808287133
-142 0.711900607350412 5 10 "GO:0008318" "protein prenyltransferase activity" 0.96483430165233
-2 0.984651435750143 5 232 "GO:0008324" "cation transmembrane transporter activity" 0.995790026652294
-49 0.903573732109681 4 9 "GO:0008330;GO:0008579;GO:0008969;GO:0016312;GO:0017161;GO:0046030;GO:0019178;GO:0030351;GO:0052827;GO:0030352;GO:0052743;GO:0042576" "inositol bisphosphate phosphatase activity" 0.989944750620165
-558 0.261176215197497 3 6 "GO:0008353" "RNA polymerase II carboxy-terminal domain kinase activity" 0.778966040333043
-118 0.560723489397011 5 36 "GO:0008374" "O-acyltransferase activity" 0.936545368828878
-258 0.232154934910056 5 32 "GO:0008375" "acetylglucosaminyltransferase activity" 0.768690784479963
104 0.658242912832227 2 27 "GO:0008376" "acetylgalactosaminyltransferase activity" 0.936545368828878
-11 0.965580830659584 2 23 "GO:0008378;GO:0035250" "galactosyltransferase activity" 0.993997930579758
-274 0.327726957760462 2 19 "GO:0008408" "3'-5' exonuclease activity" 0.807442545124904
-35 0.903458233858422 5 18 "GO:0008417" "fucosyltransferase activity" 0.989944750620165
-666 0.100899761195655 7 9 "GO:0008425;GO:0030580" "2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity" 0.61247808287133
-226 0.677675073994372 4 5 "GO:0008453" "alanine-glyoxylate transaminase activity" 0.945931368399878
-180 0.675065888557476 2 8 "GO:0008460" "dTDP-glucose 4,6-dehydratase activity" 0.945931368399878
172 0.640426864334768 2 11 "GO:0008484" "sulfuric ester hydrolase activity" 0.936545368828878
648 0.159018542101719 2 7 "GO:0008499;GO:0048531" "beta-1,3-galactosyltransferase activity" 0.662659534789532
-258 0.0474115695547574 2 89 "GO:0008509" "anion transmembrane transporter activity" 0.452943351354492
773 0.00366054650912418 -1 21 "GO:0008533" "astacin activity" 0.155255914385987
-410 0.286777758363955 -1 10 "GO:0008547" "protein-synthesizing GTPase activity" 0.778966040333043
-150 0.241019984340044 2 92 "GO:0008565" "protein transporter activity" 0.778966040333043
-408 0.34343708033973 2 8 "GO:0008568" "microtubule-severing ATPase activity" 0.827477474865123
298 0.298845183912833 -1 18 "GO:0008570" "myosin ATPase activity" 0.778966040333043
-412 0.121117340134959 2 21 "GO:0008649;GO:0008173" "RNA methyltransferase activity" 0.61247808287133
-219 0.687667555314108 -1 5 "GO:0008717" "D-alanyl-D-alanine endopeptidase activity" 0.953432613188134
-378 0.326531441631666 5 10 "GO:0008766;GO:0018169;GO:0070739" "UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity" 0.807442545124904
-1130 0.037793717713905 6 5 "GO:0008874" "gluconate 5-dehydrogenase activity" 0.422344795452888
-493 0.224714197441814 3 9 "GO:0008875" "gluconate dehydrogenase activity" 0.763945160357174
571 0.214827094280289 3 7 "GO:0008889" "glycerophosphodiester phosphodiesterase activity" 0.762861460280196
-500 0.111982826838413 2 15 "GO:0009383;GO:0008169;GO:0016434" "C-methyltransferase activity" 0.61247808287133
-205 0.543535175864876 2 13 "GO:0009975;GO:0016849" "cyclase activity" 0.936545368828878
-821 0.0742973849867746 2 7 "GO:0009982" "pseudouridine synthase activity" 0.535660178856262
-94 0.729048574470743 2 20 "GO:0015020" "glucuronosyltransferase activity" 0.96483430165233
511 0.130125469020361 2 13 "GO:0015036" "disulfide oxidoreductase activity" 0.618788134596823
-456 0.401777314328732 -1 5 "GO:0015072;GO:0015073" "phosphatidylinositol 3-kinase, class I, catalyst activity" 0.863706918119419
